bigram phrase,frequency
if they,13
god bless,13
the millions,13
years in,13
hope and,13
pastor saeed,13
because the,13
take on,13
to see,13
from washington,13
give you,13
them and,13
exactly what,13
agree with,13
talked about,13
together and,13
side of,13
so the,13
you the,13
of them,13
if i,13
some of,13
congress and,13
of his,13
it's a,13
everyone here,13
speaker boehner,13
part of,13
the instead,13
catastrophic iranian,13
stop the,13
of radical,13
with you,13
we won,13
the ground,13
the lobbyists,13
every word,13
our constitutional,13
the history,13
you vote,13
the middle,13
and it's,13
a vote,13
life and,13
have done,12
is what,12
never been,12
that our,12
how much,12
us to,12
god almighty,12
you this,12
in an,12
a reason,12
where the,12
don't do,12
this morning,12
is happening,12
justice department,12
iran deal,12
don't listen,12
coming together,12
in and,12
but you,12
say to,12
leader mcconnell,12
it to,12
of my,12
health care,12
goes through,12
to their,12
the truth,12
and at,12
federal law,12
a week,12
anything to,12
that have,12
was proud,12
this week,12
what you,12
attorney general,12
the white,12
of millions,12
and grandkids,12
that debate,12
they said,12
parts of,12
to try,12
law abiding,12
people coming,12
they say,12
you wanna,12
and your,12
has made,12
and by,12
understand the,12
every other,12
to win,12
plan to,12
amendment right,12
out his,12
may be,12
here and,12
and and,12
next president,12
so i,12
again the,12
what does,12
very simple,12
borders and,12
for you,12
that in,11
single greatest,11
those are,11
from leadership,11
kind of,11
you i,11
in my,11
of all,11
both parties,11
of these,11
chunk of,11
he did,11
court and,11
time in,11
a moment,11
as an,11
was not,11
that can,11
world a,11
then the,11
about it,11
you cannot,11
the polls,11
who had,11
should not,11
if you're,11
john boehner,11
reagan revolution,11
to pay,11
middle east,11
states and,11
weapons and,11
follow i,11
first thing,11
in your,11
grow government,11
once again,11
tells us,11
dollars to,11
every time,11
that that,11
don't want,11
can do,11
and this,11
over 100,11
rights of,11
threat to,11
will tell,11
this campaign,11
more and,11
working men,11
follow we,11
the third,11
does it,11
funding for,11
percent of,11
and fight,11
see the,11
is very,11
not just,11
when he,11
in america,11
abolish the,11
of law,11
of eight,11
are the,11
before the,11
obama has,11
they have,11
fight to,11
so much,11
that s,11
have seen,11
nuclear iran,11
repeal obamacare,11
of barack,11
that stage,11
out to,11
for their,11
it didn't,11
what they,11
number of,11
taxes on,11
we the,11
the threat,11
the power,11
grow and,11
executive amnesty,10
very first,10
that would,10
the one,10
months ago,10
loretta lynch,10
americans who,10
the words,10
we've got,10
a much,10
politicians in,10
we went,10
i m,10
if i'm,10
but if,10
it s,10
administration is,10
came to,10
the new,10
got to,10
us here,10
you you,10
thing is,10
the president's,10
it you,10
speaker of,10
jobs and,10
dollars of,10
the imagine,10
cold war,10
that will,10
continue to,10
day and,10
standing up,10
we could,10
his or,10
the past,10
a chunk,10
or her,10
he would,10
look to,10
stand on,10
on it,10
of education,10
support the,10
that's not,10
there will,10
the cold,10
a great,10
dollars will,10
do what,10
of months,10
the bad,10
you were,10
can be,10
i say,10
that fight,10
in which,10
an american,10
house of,10
follow the,10
to fund,10
my mom,10
can tell,10
career politicians,10
and says,10
for freedom,10
or the,10
about a,10
stand for,10
to them,10
to achieve,10
security of,10
for liberty,10
deal is,10
the battle,10
across america,10
that it,10
to repeal,10
now to,10
rather than,10
tell the,10
a whole,10
member of,10
house and,10
chuck schumer,10
is an,10
bin laden,10
prime minister,10
of iran,10
the gospel,10
and security,10
and one,10
many times,10
of representatives,10
as we,10
very much,10
he doesn't,10
the tree,10
in crisis,10
down on,10
tea party,10
the floor,10
eight years,10
to protect,10
to planned,10
exact same,10
say we,10
tax reform,10
clinton and,10
you need,10
