bigram phrase,frequency
are not,60
say the,60
are we,60
can be,60
have that,60
as you,60
so the,60
i made,60
don't need,60
people to,60
think that,60
but we're,60
had the,60
love to,60
like you,60
before the,60
think it,60
very good,60
here and,60
make our,60
think about,60
a bad,58
to my,58
we will,58
you and,58
is i,58
at that,58
go through,58
so so,58
day and,58
my father,58
over there,58
with it,58
things that,58
way i,58
gonna bring,58
weeks ago,58
said he,58
of us,58
is gonna,58
more than,58
they gonna,58
and one,58
do anything,58
rid of,58
how about,58
not doing,58
but i'm,56
like i,56
now you,56
where we,56
and she,56
said it,56
to bring,56
them to,56
me a,56
would say,56
you say,56
let's say,56
they take,56
don't care,56
i wouldn't,56
that's why,56
people don't,56
i guess,56
it a,56
be able,56
that don't,56
i look,56
of things,56
about this,56
go back,56
for president,54
the military,54
or not,54
time magazine,54
you gotta,54
the art,54
it's been,54
right we,54
and this,54
the old,54
you like,54
that's not,54
you had,54
by a,54
my wife,54
a job,54
to thank,54
let me,54
the republicans,54
us and,54
doesn't have,54
day i,54
to let,54
the things,54
dollars a,54
go and,54
he had,54
me they,54
art of,54
nice to,54
have you,54
not even,54
i saw,52
some people,52
world and,52
mean i,52
on and,52
it's gonna,52
to put,52
at this,52
you're not,52
money i,52
again and,52
they're doing,52
i'm saying,52
why i,52
the apprentice,52
thousands and,52
south carolina,52
it's the,52
many many,52
is it,52
said this,52
i'm telling,52
he didn't,52
there was,52
people so,52
sort of,52
so great,52
and i've,52
said well,52
thing i,52
could be,52
are so,52
who is,52
i'm the,52
can have,52
that i'm,52
a day,52
need a,50
global warming,50
get rid,50
just came,50
that way,50
say no,50
happen and,50
those people,50
to help,50
common core,50
it's like,50
nobody's gonna,50
say this,50
to talk,50
so that,50
through the,50
hundreds of,50
but but,50
now they're,50
at a,50
made in,50
have some,50
because it,50
friend of,50
the story,50
it's really,50
will tell,50
but they're,50
said we,50
how to,50
we're doing,50
it all,50
we all,50
you gonna,50
money and,50
use the,50
much money,50
will not,50
just want,50
bring it,50
said what,50
he doesn't,50
two hundred,50
we just,50
of time,50
that a,48
politically correct,48
deal and,48
may be,48
has to,48
i hear,48
you are,48
i thought,48
just a,48
do a,48
so when,48
building a,48
what it,48
ever seen,48
ok but,48
he wants,48
saudi arabia,48
they're going,48
be very,48
over here,48
i won't,48
the big,48
we did,48
a guy,48
and have,48
do and,48
say you,48
have it,48
love it,48
now and,48
a few,48
you a,48
it right,48
and my,48
should be,48
give them,48
the politicians,48
it back,48
that we're,48
see it,48
great guy,48
to start,48
did a,48
in that,48
no way,48
new york,46
right you,46
it's very,46
you saw,46
believe this,46
did it,46
because of,46
you so,46
don't get,46
doing a,46
in mexico,46
need to,46
way they,46
for you,46
you imagine,46
at all,46
take it,46
they all,46
why do,46
many of,46
believe that,46
i always,46
mean you,46
a horrible,46
no idea,46
thousand people,46
have any,46
and other,46
telling you,46
and everybody,46
a disaster,46
your money,46
whole thing,46
came in,46
people have,46
it will,46
they got,46
say we,46
you need,46
will never,46
come on,46
than ever,46
coming in,44
good and,44
other than,44
what a,44
a look,44
of schedule,44
what they're,44
not as,44
was going,44
any of,44
we give,44
our military,44
is like,44
but that's,44
people like,44
the largest,44
we could,44
hell out,44
a movement,44
the guy,44
there's no,44
to pay,44
down and,44
now the,44
you what,44
don't like,44
but then,44
have so,44
tell me,44
what he,44
in washington,44
south korea,44
group of,44
they've been,44
that it,44
ok and,44
you doing,44
two years,44
i dont,44
to win,44
me to,44
can get,44
was very,44
think they,44
was on,44
than anybody,44
gotta get,44
by far,44
out to,44
in our,44
it has,44
didn't do,44
people say,44
so bad,42
turned out,42
you could,42
stupid people,42
you wouldn't,42
two weeks,42
it it's,42
in terms,42
me because,42
middle east,42
dollars and,42
have done,42
i wanna,42
dollars we,42
what i'm,42
because i'm,42
it be,42
them in,42
it for,42
he's not,42
the number,42
of their,42
gonna build,42
our vets,42
you to,42
the cameras,42
went down,42
for us,42
you the,42
one that,42
the white,42
happens is,42
give a,42
somebody said,42
country so,42
heard of,42
and with,42
is very,42
our jobs,42
most of,42
before i,42
to mexico,42
remember that,42
nobody knows,42
as i,42
will make,42
like me,42
them i,42
we were,42
and some,42
to protect,42
only one,42
it's true,42
job and,42
off the,42
like they,42
they couldn't,40
the end,40
president that,40
and their,40
is what,40
the american,40
very important,40
have said,40
making a,40
proud of,40
get them,40
we doing,40
country is,40
it the,40
head of,40
then the,40
i heard,40
care about,40
will get,40
so important,40
he would,40
go into,40
mr trump,40
know in,40
how many,40
can tell,40
got the,40
free trade,40
it on,40
nice person,40
end up,40
and thousands,40
how do,40
right so,40
the president,40
see that,40
my life,40
thing that,40
call me,40
you remember,40
i'm doing,40
they went,40
with this,40
in one,40
again we're,40
when he,40
supreme leader,40
a whole,40
under budget,40
terms of,40
is no,40
she was,40
you would,40
well i,40
could have,40
no good,40
i took,40
him i,40
the vets,40
even if,40
out there,40
world trade,40
these politicians,40
are people,38
it's just,38
a speech,38
goes to,38
i've ever,38
hard to,38
the highest,38
get along,38
couldn't get,38
second amendment,38
get up,38
over and,38
you this,38
the term,38
with that,38
run for,38
so proud,38
people come,38
then he,38
here we,38
super pacs,38
run and,38
pay for,38
i'll be,38
to keep,38
say they,38
white house,38
time we,38
said and,38
