trigram phrase,frequency
so strong and,26
don't want your,26
if i didn't,26
but i have,26
wouldn't it be,26
went to the,26
to go to,26
we get a,26
you think about,26
in front of,26
general douglas macarthur,26
has to be,26
the american dream,26
and i've been,26
and believe me,24
to make sure,24
in san francisco,24
you can have,24
and it's not,24
i got it,24
what we're doing,24
you know these,24
country great again,24
he said i,24
have a big,24
out and vote,24
to go and,24
we don't even,24
a president that,24
and some of,24
doesn't have the,24
to do that,24
you don't see,24
of common core,24
about illegal immigration,24
a very good,24
look at these,24
i love it,24
to be in,24
i actually think,24
we can't do,24
talk about the,24
these people that,24
know i was,24
it's one of,24
have so many,24
and i see,24
want to tell,24
over the last,24
and when you,24
and it's going,24
it to the,24
have we have,24
people in this,24
to talk about,24
and we don't,24
other day and,24
hundred and thirty,24
people and they,24
want your money,24
i don't need,24
our country is,24
have a good,24
you see the,24
it turned out,24
the world we,24
as an example,24
and you can,24
i have the,24
of the country,24
number one in,24
because they want,24
thank you i,24
we're gonna get,24
was a great,24
where we go,24
bank of america,24
so what happened,24
our country great,24
you know a,24
we're gonna take,24
we love you,24
me and i,24
you know it,24
to be very,24
it all the,24
a very very,24
if i win,24
make it so,24
i say i,24
they couldn't get,24
it you know,24
in my opinion,24
but if you,24
by the time,24
and they were,22
nice to me,22
make a deal,22
we give them,22
right you know,22
for the country,22
what's happening with,22
it and we,22
the people and,22
and this is,22
tell you this,22
to get out,22
when i was,22
the problem is,22
to use the,22
i was right,22
get out of,22
to say that,22
what she did,22
it i said,22
the way we,22
have to know,22
look at all,22
country we have,22
i love them,22
i'm the only,22
to come back,22
the last time,22
they don't even,22
we don't need,22
dollars a day,22
but this is,22
want to build,22
i said this,22
matter where we,22
pay for the,22
we need to,22
them and they,22
i think we,22
to get a,22
then you have,22
the one thing,22
think we're gonna,22
know you have,22
these people are,22
of the other,22
whole thing is,22
then they say,22
and then we,22
to come in,22
he had a,22
i said the,22
and i get,22
they come from,22
get it done,22
the carbon footprint,22
said to myself,22
so i just,22
we should have,22
we're talking about,22
is we have,22
i mean we,22
to run for,22
and he was,22
you can do,22
it's not going,22
35 000 people,22
be nice if,22
i say it,22
not doing it,22
care of the,22
love you thank,22
you know i'm,22
one of my,22
what happened is,22
the biggest crowds,22
so we're going,22
it was like,22
to have to,22
want to give,22
illegal immigration and,22
said to my,22
don't know i,22
that i can,22
have the right,22
and so many,22
going to come,22
want to get,22
so they said,22
don't have any,22
hundred and seventy,22
you have the,22
we need a,22
what are we,22
to do and,22
and i told,22
do it they,22
and i got,22
have thousands of,20
millions and millions,20
when you think,20
you know they're,20
of time magazine,20
to me the,20
we have thousands,20
i guarantee you,20
what i do,20
had a lot,20
i think that,20
think of this,20
kind of thinking,20
but it was,20
make this country,20
just so you,20
of our country,20
you go to,20
american dream is,20
but we don't,20
and they had,20
all these guys,20
the best in,20
a big deal,20
you're going to,20
is one of,20
tell you that,20
know what to,20
know why i,20
and there are,20
trying to get,20
in the back,20
trillion dollars we,20
and it's a,20
know a lot,20
and you see,20
so we get,20
look at it,20
the way you,20
i said don't,20
a good time,20
have to see,20
to you know,20
thought it was,20
billions and billions,20
get out and,20
one thing i,20
i was in,20
right now i,20
why do you,20
a hundred percent,20
make it a,20
out of control,20
they said i,20
i get along,20
a guy like,20
want to see,20
couple of months,20
one of those,20
to pay for,20
just tell you,20
i will not,20
because i don't,20
and i talked,20
so i have,20
they make a,20
to be nice,20
do you do,20
give you a,20
the first time,20
i know how,20
ever heard of,20
i think he's,20
it would have,20
i was a,20
bring it back,20
the end of,20
of the best,20
what happened with,20
toughest gun laws,20
i used to,20
to my office,20
i'm talking about,20
know when you,20
and you look,20
what to do,20
all of them,20
the reason i,20
the middle class,20
right now and,20
to new hampshire,20
now they have,20
two weeks ago,20
of people outside,20
he was so,20
it and they,20
gonna build a,20
i told you,20
other day i,20
tell you i,20
to be honest,20
was one of,20
they come in,20
of the worst,20
many of the,20
come in legally,20
we had the,20
a billion dollars,20
didn't do it,20
going to start,20
i will say,20
which is a,20
said the other,20
it i don't,20
do you know,20
the old days,20
can do that,20
so proud of,20
we don't do,20
years and years,20
because they don't,18
do it we,18
to look at,18
people and we're,18
you know we're,18
solve the problem,18
i know i,18
to bring it,18
to happen and,18
said we have,18
thing you know,18
country and i,18
is a good,18
i say we,18
years ago they,18
it was the,18
on pennsylvania avenue,18
we owe them,18
gun laws in,18
thank you so,18
be the greatest,18
your life away,18
talking about it,18
gonna mess with,18
is a very,18
not talking about,18
but we're gonna,18
it's ever been,18
of all time,18
country is going,18
you know he,18
old post office,18
let it happen,18
because it was,18
never have to,18
and i do,18
on the cover,18
whether or not,18
