word,frequency
im,42
morning,42
thats,42
dollar,42
favor,42
trucks,42
war,42
hope,42
allowed,42
game,42
east,42
tickets,42
knew,42
leadership,42
ratings,42
wow,42
file,42
forever,42
face,42
sell,42
supreme,40
joe,40
it'll,40
huge,40
expensive,40
listen,40
spending,40
sense,40
enemy,40
looked,40
30,40
area,40
football,40
playing,40
candidates,40
negotiators,40
course,40
process,40
we'll,40
enough,40
gentlemen,40
bringing,40
attacked,40
ice,38
across,38
watched,38
administration,38
governor,38
senator,38
fox,38
try,38
funny,38
page,38
warriors,38
interests,38
eight,38
pacs,38
signed,38
chicago,38
bridge,38
speak,38
event,38
word,38
200,38
funding,38
respected,38
negotiator,38
walls,38
anyone,38
jet,38
situation,36
talks,36
seventy,36
ten,36
successful,36
douglas,36
protection,36
forget,36
level,36
worked,36
christmas,36
killers,36
bought,36
weren't,36
isn't,36
syria,36
gotten,36
solve,36
simple,36
macarthur,36
ladies,36
everybody's,36
san,36
service,36
including,36
100,36
debates,34
stories,34
cities,34
nbc,34
fifteen,34
giving,34
owe,34
escalator,34
europe,34
afford,34
migration,34
worry,34
worth,34
laden,34
needs,34
inspect,34
guarantee,34
human,34
difference,34
francisco,34
promise,34
vicious,34
bin,34
students,34
toughest,34
boy,34
defend,34
alabama,34
avenue,34
following,34
economy,34
immediately,34
families,34
children,34
paper,34
experience,34
crime,32
charge,32
red,32
sergeant,32
period,32
hey,32
became,32
usa,32
looks,32
texas,32
closing,32
credit,32
moved,32
order,32
300,32
afraid,32
waste,32
equipment,32
longer,32
sick,32
negotiation,32
agreement,32
majority,32
gives,32
involved,32
weather,32
sad,32
osama,32
golf,32
month,32
pennsylvania,32
clean,32
ran,32
essentially,32
wonder,32
either,32
islamic,30
dream,30
open,30
god,30
create,30
carl,30
ways,30
rebuild,30
loved,30
meet,30
mind,30
daughter,30
smarter,30
damn,30
games,30
15,30
points,30
except,30
june,30
dropped,30
drive,30
cannot,30
dinner,30
bye,30
clue,30
ford,30
stay,30
congress,30
mistake,30
radical,30
tone,30
created,30
rubio,30
position,30
entire,30
safe,30
behind,30
replace,30
traitor,30
pages,30
add,30
especially,30
rather,28
zero,28
pick,28
public,28
sixty,28
bernie,28
rebuilt,28
product,28
businesses,28
hands,28
driving,28
internet,28
illegally,28
amount,28
reporters,28
approved,28
impact,28
miss,28
16,28
based,28
opinion,28
estate,28
letter,28
icahn,28
heat,28
african,28
generals,28
walked,28
message,28
double,28
negative,28
although,28
early,28
cash,28
laws,28
dallas,28
shooting,28
notice,28
alright,28
fantastic,28
carbon,28
hacks,28
frankly,28
aren't,28
law,28
americans,28
ripping,28
negotiated,28
rough,28
hand,28
raised,28
choice,26
website,26
smartest,26
highly,26
caterpillar,26
disappointed,26
beyond,26
instead,26
allow,26
cases,26
ass,26
parents,26
48,26
services,26
boeing,26
500,26
22,26
jersey,26
incoming,26
papers,26
caused,26
cell,26
marco,26
clinton,26
already,26
plans,26
beginning,26
policy,26
2000,26
social,26
finish,26
terrorism,26
meaning,26
vet,26
corrupt,26
greater,26
executive,26
land,26
spirit,26
dirty,26
ships,26
honor,26
local,26
jeff,26
trillions,26
exactly,26
break,26
known,26
hatred,26
gas,26
judge,26
subject,26
radicalized,24
bottom,24
footprint,24
seriously,24
awards,24
result,24
prison,24
nabisco,24
rest,24
fall,24
tower,24
federal,24
likes,24
ridiculous,24
black,24
beating,24
twelve,24
events,24
zone,24
lines,24
act,24
living,24
christie,24
people's,24
14,24
18,24
assume,24
guts,24
member,24
anywhere,24
2004,24
chinese,24
eyes,24
mobile,24
seconds,24
road,24
walking,24
hate,24
hilary,24
unpredictable,24
areas,24
selling,24
online,24
packed,24
party,24
financials,24
